Model,ROC_AUC,Average_Precision,Precision_Fraud,Recall_Fraud,F1_Fraud
Random Forest,0.9697315758042103,0.8450621093446398,0.8941176470588236,0.7755102040816326,0.8306010928961749
Logistic Regression,0.9721687370080279,0.7159122424484009,0.06097560975609756,0.9183673469387755,0.11435832274459974
